filename,width,height,class,xmin,ymin,xmax,ymax
000f0aa8-add0-4552-aed7-8a973166c570.jpg,800,600,mouse,107,8,696,570
00285179-fffc-4aad-9516-2cf7d5c0cd8e.jpg,259,194,keyboard,2,25,253,184
00565e40-08b9-48d8-a249-3e97f404ba72.jpg,562,450,mouse,87,10,489,398
0090d881-611b-4b4c-9af6-3ed67d8103d6.jpg,620,620,keyboard,16,210,609,413
0121f325-3fc1-44bd-8f1f-684b3803b331.jpg,242,208,mouse,8,11,223,176
01241a88-5df7-409e-9397-d25a1b56eab6.jpg,422,119,keyboard,5,-3,416,120
012de103-da96-463d-b223-49e4aed5bccb.jpg,368,137,keyboard,4,-3,363,139
014cf7f3-3264-4d46-b08d-98d5efe3d45c.jpg,300,168,mouse,254,17,300,153
014cf7f3-3264-4d46-b08d-98d5efe3d45c.jpg,300,168,mouse,189,14,257,158
014cf7f3-3264-4d46-b08d-98d5efe3d45c.jpg,300,168,mouse,126,14,187,153
014cf7f3-3264-4d46-b08d-98d5efe3d45c.jpg,300,168,mouse,51,12,123,158
014cf7f3-3264-4d46-b08d-98d5efe3d45c.jpg,300,168,mouse,0,11,51,154
01a28b78-9118-499e-ab79-3ad1268f12bc.jpg,225,225,keyboard,6,75,221,152
01d20f8c-0de4-49dc-8d5e-e3c92a462a1f.jpg,300,168,keyboard,35,28,261,137
01ddb8bf-06bf-479f-9bb6-5d6c25ea3ab9.jpg,168,299,keyboard,3,212,165,297
02a0a339-a1fc-484e-91ff-5665e82cc36c.jpg,299,168,keyboard,2,4,297,172
02cd54ed-2571-4ac2-999a-951c10a597f7.jpg,292,172,mouse,5,6,288,164
02de2340-a38d-478c-8c58-160e5f46c25e.jpg,225,225,mouse,49,7,173,221
0325c7f7-42ae-47b7-b782-5eb071bd3976.jpg,321,157,keyboard,5,-4,316,162
03c5a552-2575-42eb-b6bf-576da51a5874.jpg,300,168,keyboard,106,91,178,155
03e0d43d-5ee9-4962-a87f-e34087167dc9.jpg,259,194,keyboard,3,-5,255,191
03ff85dc-8c9c-4329-9bdd-98b6015b975b.jpg,300,168,mouse,97,7,222,140
04624d16-7554-4fac-bd6e-26a51a798c4d.jpg,278,181,keyboard,0,45,241,181
04959730-3985-4ea1-a575-9d88b9069b12.jpg,156,323,mouse,3,1,156,323
04a5bc95-3fcb-4e06-be7e-bf13fa44f289.jpg,305,165,keyboard,6,-3,298,135
04abe136-1930-4127-8b46-d90d80527230.jpg,550,420,mouse,51,4,548,420
04dd81de-ee39-4573-b1d9-dbe7870b0dab.jpg,225,225,mouse,8,13,221,204
04e5129f-d5e8-4666-8a93-d3341edcb866.jpg,284,177,mouse,179,0,284,88
04e5129f-d5e8-4666-8a93-d3341edcb866.jpg,284,177,mouse,60,60,211,162
04e5129f-d5e8-4666-8a93-d3341edcb866.jpg,284,177,mouse,179,91,284,177
04e5129f-d5e8-4666-8a93-d3341edcb866.jpg,284,177,mouse,0,0,88,139
05059e54-b2cb-467b-a8fb-ee9c3adc39ed.jpg,225,225,mouse,146,60,191,109
05059e54-b2cb-467b-a8fb-ee9c3adc39ed.jpg,225,225,mouse,39,22,95,116
05dbb71d-0868-4481-b1d8-ce84f10cacc8.jpg,275,183,keyboard,20,61,256,136
060364bf-c293-4a38-8a14-fc213ed76567.jpg,225,225,mouse,5,9,222,179
06564e32-cbdb-499c-8f13-642f2400bef0.jpg,225,225,mouse,98,155,186,203
06564e32-cbdb-499c-8f13-642f2400bef0.jpg,225,225,keyboard,7,45,218,174
0677f55d-51b2-455f-8c1d-79f3f6f677ff.jpg,225,225,mouse,61,26,169,203
06888487-ad23-44a9-91c6-a6e1379d1be5.jpg,331,152,keyboard,31,66,299,137
0699f6f5-43cf-47f7-9e24-a1818654ba88.jpg,239,211,mouse,26,104,103,190
06a03536-0684-4188-a944-7396d215d494.jpg,275,183,keyboard,20,57,255,124
06be81b8-b45f-428d-afd1-6e23ed74bfb5.jpg,300,168,mouse,155,45,233,123
072fd84d-68dd-47d7-aa9d-9aa944ec4edd.jpg,367,137,mouse,137,14,357,137
07378b8f-f7be-4760-ac9e-13e0505454b6.jpg,196,257,mouse,40,46,155,221
074fa1cf-d87c-4ecb-a34c-e2140a22be0e.jpg,374,135,keyboard,80,3,373,133
07dc6a9d-bb64-413d-b589-fb76c7efb95a.jpg,225,225,mouse,69,1,214,179
07e67d70-a3f7-41fd-920f-8aedb86268e2.jpg,225,225,mouse,37,55,188,178
0810abb4-6dc5-4942-acd4-e1bd1673e513.jpg,364,139,keyboard,5,-3,358,142
082b14ab-074b-4eb1-8517-dc54918987be.jpg,235,214,mouse,11,13,223,207
0858f9b2-e30e-4bf8-b688-8d7df2d5f966.jpg,500,500,mouse,218,159,495,420
087810c4-7cf9-42a4-a643-f26db8274c48.jpg,321,157,keyboard,3,45,316,142
089103e5-d2f5-431c-ae49-f9adbb6346df.jpg,225,225,mouse,3,15,225,198
08a1f51e-6aeb-4d0a-b41b-1a1324cbde9b.jpg,281,179,keyboard,3,0,280,179
08e99f12-b1be-451e-9417-41ae406b2b2d.jpg,225,225,mouse,161,116,212,166
08e99f12-b1be-451e-9417-41ae406b2b2d.jpg,225,225,keyboard,-4,47,189,134
09481473-d667-481d-94fa-ec5afe3734d7.jpg,800,800,mouse,57,522,366,681
09481473-d667-481d-94fa-ec5afe3734d7.jpg,800,800,keyboard,0,224,800,516
09640356-d1f0-4b36-b4b2-1f5aacd92d95.jpg,300,168,mouse,46,16,264,143
098768b6-1aa9-4482-bb09-c26c0f7d5764.jpg,304,166,mouse,7,17,68,133
098768b6-1aa9-4482-bb09-c26c0f7d5764.jpg,304,166,mouse,121,21,184,131
098768b6-1aa9-4482-bb09-c26c0f7d5764.jpg,304,166,mouse,237,20,299,130
098b7cc1-aacd-4293-affc-47b2f0357cc9.jpg,234,215,keyboard,2,74,233,187
09bd81e0-19f4-48ea-9b2c-5b4f653c1f16.jpg,287,175,mouse,69,1,251,160
0a446e1a-cbd1-4f4a-adff-ea4982b1568f.jpg,331,152,keyboard,6,12,322,143
0ac4dcab-bb2a-4a50-872d-ae3536d2115d.jpg,318,159,keyboard,3,-4,313,159
0ae2c4a5-656d-4df6-9467-a5bef96fa61f.jpg,275,183,mouse,84,65,174,117
0af40d9e-b96d-408a-80f8-2e4de4f22742.jpg,259,194,mouse,14,14,254,160
0af48fca-d227-4beb-9f2e-785b2c518fb0.jpg,225,225,keyboard,35,70,198,162
0af992a2-1e0e-4d88-b17b-5ea7e2fddbd2.jpg,254,198,mouse,72,24,178,174
0b10cdc0-e4d2-4f7f-8f38-95080cef6dd3.jpg,224,224,mouse,34,55,190,177
0b1f95a3-8260-4361-ac44-95bc72d03843.jpg,418,120,keyboard,14,4,405,113
0b70c9e8-b1e1-48eb-93c9-95f70d108297.jpg,225,225,mouse,17,10,211,217
0bc8ea1f-e978-4ef6-a9a5-483d6bcb2d0d.jpg,1500,1500,mouse,187,119,1308,1196
